,prompt_score,response_score
0,0.19781695306301117,0.01218236330896616
1,0.2908814549446106,0.004501470364630222
2,0.09042234718799591,0.0005090594058856368
3,0.38233476877212524,0.01625702530145645
4,0.21119575202465057,0.011619283817708492
5,0.2622075378894806,0.00024071398365776986
6,0.1236802488565445,0.0035174645017832518
7,0.23776191473007202,0.00016779026191215962
8,0.18903890252113342,0.00044957268983125687
9,0.2681460976600647,0.00018803587590809911
10,0.047658782452344894,0.0001943958195624873
11,0.2975676357746124,0.00014569965424016118
12,0.16216187179088593,0.00015965124475769699
13,0.3086296021938324,0.00023415923351421952
14,0.8340769410133362,0.34038883447647095
15,0.5853666663169861,0.18132491409778595
16,0.08126804232597351,0.0011278247693553567
17,0.05932930111885071,0.01624150574207306
18,0.2243480533361435,0.031023681163787842
19,0.2866012454032898,0.0029509917367249727
20,0.21008910238742828,0.0003413978556636721
21,0.2983091473579407,0.0004536948399618268
22,0.24439555406570435,0.0001508123823441565
23,0.44920095801353455,0.16262295842170715
24,0.3025999069213867,0.01917378604412079
25,0.342014342546463,0.00022524916857946664
26,0.5083462595939636,0.0008551082573831081
27,0.0685017853975296,0.008620011620223522
28,0.5103345513343811,0.00047605211148038507
29,0.3736923336982727,0.17147761583328247
30,0.40032270550727844,0.0666564553976059
31,0.18640628457069397,0.0007999542867764831
32,0.22393646836280823,0.000579909305088222
33,0.17248854041099548,0.0001350499369436875
34,0.782841682434082,0.6230007410049438
35,0.46480366587638855,0.00017433390894439071
36,0.9520254135131836,0.9845879077911377
37,0.21400876343250275,0.00016944513481575996
38,0.2566912770271301,0.02132483199238777
39,0.09505928307771683,0.0028201600071042776
40,0.4677782654762268,0.00022184470435604453
41,0.35443398356437683,0.0009819642873480916
42,0.49985796213150024,0.0001379059540340677
43,0.30332332849502563,0.20567558705806732
44,0.19706188142299652,0.0007275574607774615
45,0.07195010781288147,0.010989326052367687
46,0.13904167711734772,0.0011747214011847973
47,0.3941934108734131,0.002922534942626953
48,0.19748932123184204,0.0001944302930496633
49,0.220540851354599,0.0005646540084853768
50,0.10778889805078506,0.049136992543935776
51,0.3714739978313446,0.00014798187476117164
52,0.3972461521625519,0.004727558698505163
53,0.31779760122299194,0.00579956965520978
54,0.26589685678482056,0.0007099472568370402
55,0.46243688464164734,0.003318214323371649
56,0.4298642873764038,0.00019161080126650631
57,0.45196062326431274,0.0002154627873096615
